Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
261,80,0,120.0,19296,0,,0,0,0,2,0,11,3,0,0,5,6,5,1962,1962,0,0,2,5,0.0,399.0,1,0,1,1.0,0.0,1.0,3.0,672,2.0,27,0,1362,0,2,0,0.0,1382,0,0,1382,1,0,1,0,3,1,1,6,0,1,0.0,0.0,15.0,1.0,2,884,0.0,0.0,0,0,0,252,0,0,0,,1.0,,0,5,3,0,0,176000
262,60,0,69.0,9588,0,,1,0,0,0,0,0,0,0,0,0,8,5,2007,2007,0,0,6,6,2.0,270.0,0,0,0,2.0,0.0,0.0,2.0,0,0.0,0,1482,1482,0,0,0,0.0,1482,1092,0,2574,0,0,2,1,3,1,2,10,0,1,1.0,2.0,22.0,2.0,3,868,0.0,0.0,0,0,148,0,0,0,0,,,,0,11,1,1,2,276000
263,80,0,88.0,8471,0,,1,0,0,2,0,9,0,0,0,5,6,7,1977,1995,0,0,3,4,0.0,46.0,1,0,1,0.0,1.0,3.0,1.0,506,0.0,0,0,506,0,2,0,0.0,1212,0,0,1212,1,0,1,0,3,1,1,6,0,1,0.0,0.0,76.0,1.0,2,492,0.0,0.0,0,292,12,0,0,0,0,,1.0,,0,7,2,0,0,151000
264,50,1,50.0,5500,0,,0,0,0,2,0,7,0,0,0,2,5,7,1929,2001,0,0,2,5,1.0,0.0,1,0,2,1.0,0.0,0.0,5.0,234,2.0,28,0,926,0,2,0,0.0,926,0,390,1316,1,0,1,0,3,1,1,6,0,0,,1.0,47.0,1.0,2,484,0.0,0.0,0,0,0,0,0,0,0,,,,0,4,4,0,0,130000
265,30,1,30.0,5232,0,0.0,3,1,0,0,0,7,3,0,0,1,5,5,1925,2004,0,0,2,5,1.0,0.0,1,0,2,3.0,0.0,0.0,2.0,0,0.0,0,680,680,0,1,1,3.0,764,0,0,764,0,0,1,0,2,1,1,4,0,0,,1.0,10.0,1.0,2,504,0.0,0.0,1,0,0,0,0,0,0,,,,0,6,0,0,0,73000
266,20,0,78.0,12090,0,,1,0,0,0,0,6,0,0,0,1,6,6,1981,1981,0,0,1,1,0.0,210.0,1,1,1,0.0,0.0,0.0,0.0,588,4.0,29,606,1422,0,2,0,0.0,1422,0,0,1422,0,0,2,0,3,1,0,7,0,1,0.0,0.0,36.0,2.0,2,576,0.0,0.0,0,276,0,0,0,0,0,,2.0,,0,6,0,0,0,175500
267,60,0,70.0,11207,0,,1,3,0,1,0,17,0,0,0,0,6,5,1997,1997,0,0,0,0,1.0,0.0,1,0,0,0.0,0.0,3.0,0.0,714,0.0,0,88,802,0,1,0,0.0,802,709,0,1511,1,0,2,1,3,1,1,8,0,1,0.0,0.0,33.0,2.0,2,413,0.0,0.0,0,95,75,0,0,0,0,,,,0,6,2,0,0,185000
268,75,0,60.0,8400,0,,0,1,0,0,1,23,0,0,0,7,5,8,1939,1997,0,0,2,5,1.0,0.0,1,0,0,1.0,0.0,0.0,5.0,378,0.0,0,342,720,0,0,0,0.0,1052,720,420,2192,0,0,2,1,4,1,0,8,0,1,1.0,1.0,9.0,1.0,1,240,0.0,0.0,0,262,24,0,0,0,0,,,,0,7,0,0,0,179500
269,30,1,71.0,6900,0,,0,0,0,0,0,13,0,0,0,1,5,6,1940,1955,0,0,0,0,1.0,0.0,1,0,1,1.0,0.0,0.0,1.0,403,3.0,30,212,740,0,0,0,0.0,778,0,0,778,0,0,1,0,2,1,1,4,0,1,1.0,1.0,26.0,2.0,1,924,3.0,4.0,0,0,25,0,0,0,0,,,,0,2,0,0,0,120500
270,20,0,,7917,0,,1,0,0,2,0,15,0,0,0,1,6,7,1976,1976,1,0,3,3,0.0,174.0,1,1,1,1.0,1.0,0.0,4.0,751,0.0,0,392,1143,0,2,0,0.0,1113,0,0,1113,1,0,1,1,3,1,1,6,0,1,2.0,0.0,42.0,0.0,1,504,0.0,2.0,0,370,30,0,0,0,0,,2.0,,0,5,1,0,0,148000
271,60,3,84.0,10728,0,,0,0,0,0,0,5,0,0,0,0,8,5,2006,2006,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,2.0,2.0,0,0.0,0,1095,1095,0,1,0,0.0,1095,844,0,1939,0,0,2,1,3,1,0,8,0,1,1.0,0.0,13.0,0.0,3,1053,0.0,0.0,0,192,51,0,0,0,0,,,,0,8,2,1,2,266000
272,20,0,73.0,39104,0,,1,2,0,3,2,19,0,0,0,1,7,7,1954,2005,4,4,7,4,1.0,0.0,1,0,1,0.0,0.0,1.0,5.0,226,5.0,31,96,1385,0,0,0,0.0,1363,0,0,1363,1,0,1,0,2,1,1,5,4,2,0.0,0.0,29.0,1.0,2,439,0.0,0.0,0,81,0,0,0,0,0,,,,0,4,0,0,0,241500
273,60,0,92.0,11764,0,,1,0,0,3,0,3,0,0,0,0,8,7,1999,2007,0,0,0,0,0.0,348.0,0,0,0,0.0,0.0,0.0,0.0,524,0.0,0,628,1152,0,0,0,0.0,1164,1106,0,2270,0,0,2,1,4,1,0,9,0,1,1.0,0.0,38.0,2.0,3,671,0.0,0.0,0,132,57,0,0,0,0,,,,0,4,4,0,0,290000
274,20,0,80.0,9600,0,,0,0,0,0,0,11,1,0,0,1,6,6,1958,1988,1,0,2,5,3.0,183.0,1,0,1,1.0,0.0,0.0,3.0,620,4.0,32,0,1240,0,1,0,0.0,1632,0,0,1632,1,0,2,0,3,1,1,6,1,1,1.0,0.0,18.0,0.0,1,338,0.0,0.0,0,289,0,0,0,0,0,,0.0,,0,4,3,0,0,139000
275,20,0,76.0,8314,0,,0,0,0,2,0,4,0,0,0,1,5,7,1982,1982,0,0,3,11,1.0,0.0,1,0,1,1.0,0.0,1.0,1.0,546,0.0,0,270,816,0,2,0,0.0,816,0,0,816,0,0,1,0,2,1,1,5,0,0,,0.0,77.0,1.0,1,264,0.0,0.0,0,168,0,0,0,0,0,,,,0,6,1,0,0,124500
276,50,0,55.0,7264,0,,0,0,0,0,0,8,0,0,0,2,7,7,1925,2007,0,0,2,5,1.0,0.0,0,1,2,1.0,0.0,0.0,2.0,0,0.0,0,952,952,1,1,1,0.0,952,596,0,1548,0,0,2,1,3,1,2,5,0,0,,1.0,76.0,1.0,2,672,0.0,0.0,0,74,0,0,0,144,0,,,,0,10,3,0,0,205000
277,20,0,129.0,9196,0,,1,0,0,0,0,4,0,0,0,1,7,5,2003,2003,0,0,0,0,1.0,0.0,0,0,0,2.0,0.0,0.0,2.0,0,0.0,0,1560,1560,0,0,0,0.0,1560,0,0,1560,0,0,2,0,3,1,0,7,0,0,,0.0,0.0,2.0,2,573,0.0,0.0,0,100,150,0,0,0,0,,,,0,4,4,0,0,201000
278,20,0,140.0,19138,0,,0,0,0,2,0,17,0,0,0,1,4,5,1951,1951,0,0,0,0,1.0,0.0,1,0,1,1.0,0.0,0.0,5.0,120,0.0,0,744,864,0,0,0,0.0,864,0,0,864,0,0,1,0,2,1,1,4,0,0,,1.0,54.0,1.0,2,400,0.0,0.0,0,0,0,0,0,0,0,,,,0,6,4,0,0,141000
279,20,0,107.0,14450,0,,0,0,0,0,0,10,0,0,0,1,9,5,2006,2007,0,0,6,6,0.0,315.0,2,0,0,2.0,0.0,1.0,2.0,0,0.0,0,2121,2121,0,0,0,0.0,2121,0,0,2121,0,0,2,1,3,1,2,8,0,1,3.0,0.0,22.0,2.0,3,732,0.0,0.0,0,124,98,0,0,142,0,,,,0,5,1,1,2,415298
280,60,0,83.0,10005,0,,0,0,0,0,0,19,0,0,0,0,7,5,1977,1977,1,0,7,4,0.0,299.0,1,0,1,0.0,0.0,0.0,4.0,392,0.0,0,768,1160,0,0,0,0.0,1156,866,0,2022,0,0,2,1,4,1,1,8,0,1,0.0,0.0,32.0,2.0,2,505,0.0,0.0,0,288,117,0,0,0,0,,,,0,3,0,0,0,192000
281,60,0,82.0,11287,0,,0,0,0,0,0,12,0,0,0,0,7,6,1989,1989,0,0,7,4,0.0,340.0,0,0,1,0.0,0.0,3.0,0.0,421,0.0,0,386,807,0,1,0,0.0,1175,807,0,1982,0,0,2,1,3,1,0,7,0,1,0.0,0.0,43.0,2.0,2,575,0.0,0.0,0,0,84,0,196,0,0,,,,0,1,1,0,0,228500
282,20,3,60.0,7200,0,1.0,0,0,0,0,0,5,0,0,0,1,6,5,2006,2006,0,0,0,0,2.0,68.0,0,0,0,0.0,0.0,0.0,0.0,905,0.0,0,357,1262,0,1,0,0.0,1262,0,0,1262,0,0,2,0,2,1,0,5,0,0,,0.0,13.0,2.0,2,572,0.0,0.0,0,0,120,0,0,0,0,,,,0,5,2,1,2,185000
283,120,0,34.0,5063,0,,0,0,0,0,0,10,0,0,4,1,7,5,2007,2008,0,0,0,0,2.0,166.0,0,0,0,0.0,0.0,0.0,0.0,904,0.0,0,410,1314,0,0,0,0.0,1314,0,0,1314,1,0,2,0,2,1,0,6,0,1,1.0,0.0,23.0,0.0,2,626,0.0,0.0,0,172,62,0,0,0,0,,,,0,4,3,6,0,207500
284,20,0,74.0,9612,0,,0,0,0,0,0,5,1,0,0,1,8,5,2008,2009,0,0,0,0,2.0,72.0,0,0,0,0.0,0.0,0.0,2.0,0,0.0,0,1468,1468,0,0,0,0.0,1468,0,0,1468,0,0,2,0,3,1,0,6,0,1,1.0,0.0,23.0,2.0,3,898,0.0,0.0,0,210,150,0,0,0,0,,,,0,12,3,1,2,244600
285,120,0,50.0,8012,0,,0,0,0,0,0,12,0,0,3,1,6,5,1992,1992,0,0,7,11,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,430,0.0,0,1145,1575,0,1,0,0.0,1575,0,0,1575,1,0,2,0,2,1,0,5,0,0,,0.0,78.0,0.0,2,529,0.0,0.0,0,0,0,52,0,0,0,,,,0,7,1,0,0,179200
286,160,3,35.0,4251,0,1.0,1,0,0,0,0,5,0,0,3,0,7,5,2006,2007,0,0,1,1,1.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0,0.0,0,625,625,0,0,0,0.0,625,625,0,1250,0,0,2,1,2,1,0,5,0,0,,1.0,13.0,0.0,2,528,0.0,0.0,0,0,54,0,0,0,0,,,,0,6,1,1,2,164700
287,50,0,77.0,9786,0,,1,1,0,0,0,11,0,0,0,2,6,7,1962,1981,0,0,2,5,1.0,0.0,1,0,1,1.0,0.0,0.0,3.0,600,0.0,0,312,912,0,2,0,0.0,1085,649,0,1734,0,0,1,1,3,1,0,7,0,1,1.0,0.0,12.0,0.0,2,440,0.0,0.0,0,0,0,0,0,128,0,,2.0,,0,6,2,0,0,159000
288,20,0,,8125,0,,1,0,0,2,0,11,0,0,0,1,4,4,1971,1971,0,0,3,3,1.0,0.0,1,0,1,1.0,0.0,0.0,4.0,614,0.0,0,244,858,0,2,0,0.0,858,0,0,858,0,0,1,0,3,1,1,5,0,0,,,,,0,0,,,0,0,0,0,0,0,0,,,,0,6,2,0,0,88000
289,20,0,,9819,0,,1,0,0,0,0,9,0,0,0,1,5,5,1967,1967,0,0,1,1,0.0,31.0,1,1,1,1.0,0.0,0.0,4.0,450,0.0,0,432,882,0,2,0,0.0,900,0,0,900,0,0,1,0,3,1,1,5,0,0,,1.0,16.0,1.0,1,280,0.0,0.0,0,0,0,0,0,0,0,,0.0,,0,2,4,0,0,122000
290,70,0,60.0,8730,0,,0,0,0,0,0,8,6,0,0,0,6,7,1915,2003,0,0,2,5,1.0,0.0,1,0,2,1.0,0.0,0.0,2.0,0,0.0,0,698,698,0,0,0,2.0,698,698,0,1396,0,0,1,0,3,1,1,7,0,0,,1.0,0.0,1.0,1,384,0.0,0.0,0,0,0,0,0,259,0,,,,0,7,1,0,0,153575
291,60,0,120.0,15611,0,,0,0,0,0,0,0,0,0,0,0,8,5,2006,2006,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,3.0,2.0,0,0.0,0,1079,1079,0,0,0,0.0,1079,840,0,1919,0,0,2,1,3,1,0,8,0,1,1.0,0.0,13.0,0.0,2,685,2.0,0.0,0,0,51,0,0,0,0,,,,0,7,2,1,2,233230
292,190,0,55.0,5687,0,0.0,0,1,0,0,0,23,0,0,1,0,5,6,1912,2000,0,0,0,0,1.0,0.0,1,2,0,1.0,2.0,0.0,3.0,210,0.0,0,570,780,0,0,1,0.0,936,780,0,1716,1,0,2,0,6,1,3,9,0,0,,,,,0,0,,,1,0,184,0,0,0,0,,,,0,3,0,0,0,135900
293,50,0,60.0,11409,0,,0,0,0,0,0,15,0,0,0,2,5,4,1949,2008,0,0,2,5,1.0,0.0,1,0,1,1.0,0.0,0.0,5.0,292,0.0,0,476,768,0,1,0,0.0,1148,568,0,1716,0,0,1,1,3,1,1,8,3,1,1.0,0.0,73.0,1.0,1,281,0.0,0.0,0,0,0,0,0,160,0,,,,0,1,3,0,0,131000
294,60,0,,16659,0,,1,0,0,2,0,6,7,0,0,0,7,7,1977,1994,0,0,7,4,0.0,34.0,1,0,1,1.0,0.0,0.0,1.0,795,0.0,0,0,795,0,3,0,0.0,1468,795,0,2263,1,0,2,1,3,1,0,9,0,1,0.0,0.0,32.0,2.0,2,539,0.0,0.0,0,0,250,0,0,0,0,,,,0,3,2,0,0,235000
295,20,0,80.0,9600,0,,0,0,0,0,0,11,0,0,0,1,6,5,1953,1953,1,0,3,3,2.0,238.0,1,0,1,1.0,0.0,0.0,0.0,1285,0.0,0,131,1416,0,2,0,0.0,1644,0,0,1644,1,0,1,0,3,1,1,7,0,2,1.0,0.0,30.0,2.0,2,418,0.0,0.0,0,110,0,0,0,0,0,,,,0,10,3,0,0,167000
296,80,0,37.0,7937,0,,1,0,0,3,0,4,0,0,0,5,6,6,1984,1984,0,0,3,3,1.0,0.0,1,0,1,1.0,0.0,3.0,0.0,819,0.0,0,184,1003,0,2,0,0.0,1003,0,0,1003,1,0,1,0,3,1,1,6,0,0,,1.0,60.0,1.0,2,588,0.0,0.0,0,120,0,0,0,0,0,,2.0,,0,3,2,0,0,142500
297,50,1,75.0,13710,0,,0,0,0,0,0,13,0,0,0,2,5,5,1950,1950,0,0,2,5,1.0,0.0,1,0,1,1.0,0.0,0.0,4.0,420,0.0,0,490,910,0,2,0,2.0,910,648,0,1558,0,0,1,1,4,1,1,6,0,0,,0.0,49.0,1.0,1,282,0.0,0.0,0,289,0,0,0,0,0,,0.0,,0,6,1,0,0,152000
298,60,3,66.0,7399,0,1.0,1,0,0,0,0,5,0,0,0,0,7,5,1997,1998,1,0,0,0,0.0,1600.0,0,0,0,0.0,0.0,0.0,4.0,649,0.0,0,326,975,0,0,0,0.0,975,975,0,1950,0,0,2,1,3,1,0,7,0,1,0.0,1.0,33.0,0.0,2,576,0.0,0.0,0,0,10,0,0,198,0,,,,0,6,1,0,0,239000
299,60,0,90.0,11700,0,,0,0,0,0,0,6,0,0,0,0,6,6,1968,1968,3,0,3,12,0.0,365.0,0,0,1,1.0,0.0,0.0,1.0,384,3.0,33,143,702,0,1,0,0.0,1041,702,0,1743,0,1,1,2,3,1,1,7,0,1,1.0,0.0,21.0,1.0,2,539,0.0,0.0,0,224,0,0,0,0,0,,,,0,6,1,0,0,175000
300,20,0,80.0,14000,0,,0,0,0,0,0,2,0,0,0,1,6,8,1950,2004,0,0,3,3,1.0,0.0,1,1,1,1.0,0.0,0.0,2.0,0,0.0,0,1092,1092,0,0,0,0.0,1152,0,0,1152,0,1,1,0,3,1,0,6,0,1,1.0,0.0,49.0,1.0,1,300,0.0,0.0,0,0,36,0,0,0,0,,2.0,,0,8,3,0,5,158500
301,190,0,90.0,15750,0,,0,0,0,2,0,2,0,0,1,1,5,5,1953,1953,1,0,1,1,0.0,56.0,1,0,1,1.0,0.0,2.0,4.0,841,0.0,0,324,1165,0,2,0,0.0,1336,0,0,1336,1,0,1,0,2,1,1,5,0,2,1.0,0.0,30.0,1.0,1,375,0.0,0.0,0,0,0,0,0,0,0,,,,0,6,2,0,0,157000
302,60,0,66.0,16226,0,,3,0,0,0,0,0,0,0,0,0,8,5,1998,1999,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,281,0.0,0,747,1028,0,0,0,0.0,1210,1242,0,2452,0,0,2,1,4,1,0,9,0,1,0.0,2.0,3.0,2.0,2,683,0.0,0.0,0,208,50,0,0,0,0,,,,0,5,1,0,0,267000
303,20,0,118.0,13704,0,,1,0,0,2,0,0,0,0,0,1,7,5,2001,2002,0,0,0,0,0.0,150.0,0,0,0,0.0,0.0,0.0,2.0,0,0.0,0,1541,1541,0,0,0,0.0,1541,0,0,1541,0,0,2,0,3,1,0,6,0,1,0.0,0.0,2.0,0.0,3,843,0.0,0.0,0,468,81,0,0,0,0,,,,0,1,2,0,0,205000
304,20,0,70.0,9800,0,,0,0,0,2,0,0,0,0,0,1,5,7,1972,1972,0,0,0,0,1.0,0.0,1,0,0,1.0,0.0,0.0,1.0,894,0.0,0,0,894,0,2,0,0.0,894,0,0,894,1,0,1,0,3,1,1,5,0,0,,0.0,57.0,1.0,2,552,0.0,0.0,0,256,0,0,0,0,0,,1.0,,0,7,2,0,1,149900
305,75,1,87.0,18386,0,,0,0,0,0,0,7,0,0,0,7,7,9,1880,2002,0,0,6,6,1.0,0.0,1,0,2,1.0,0.0,0.0,2.0,0,0.0,0,1470,1470,0,0,0,0.0,1675,1818,0,3493,0,0,3,0,3,1,0,10,0,1,3.0,0.0,0.0,1.0,3,870,0.0,0.0,0,302,0,0,0,0,0,,,,0,5,0,0,0,295000
306,20,0,80.0,10386,0,,0,0,0,0,0,0,0,0,0,1,8,5,2004,2005,0,0,6,6,2.0,246.0,0,0,0,0.0,0.0,0.0,0.0,1464,0.0,0,536,2000,0,0,0,0.0,2000,0,0,2000,1,0,2,0,3,1,0,8,0,0,,0.0,6.0,2.0,3,888,0.0,0.0,0,168,0,0,0,0,0,,,,0,7,1,0,0,305900
307,60,0,116.0,13474,0,,0,0,0,0,0,12,1,0,0,0,7,5,1990,1991,0,0,3,4,0.0,246.0,0,0,1,0.0,0.0,0.0,1.0,700,0.0,0,0,700,0,1,0,0.0,1122,1121,0,2243,1,0,2,1,4,1,0,8,0,1,0.0,0.0,40.0,0.0,3,746,0.0,0.0,0,127,44,224,0,0,0,,,,0,6,1,0,0,225000
308,50,1,,7920,0,0.0,1,0,0,0,0,13,3,0,0,2,6,7,1920,1950,0,0,1,1,1.0,0.0,1,2,1,1.0,0.0,0.0,2.0,0,0.0,0,319,319,0,2,0,2.0,1035,371,0,1406,0,0,1,0,3,1,3,6,0,0,,,,,0,0,,,1,0,144,0,0,0,0,,0.0,,0,3,0,0,0,89500
309,30,0,,12342,0,,1,0,0,0,0,15,0,0,0,1,4,5,1940,1950,0,0,0,0,1.0,0.0,1,0,1,1.0,0.0,0.0,4.0,262,0.0,0,599,861,0,0,0,0.0,861,0,0,861,0,0,1,0,1,1,1,4,0,0,,1.0,50.0,1.0,2,539,0.0,0.0,0,158,0,0,0,0,0,,,,0,3,3,0,0,82500
310,20,0,90.0,12378,0,,1,0,0,0,0,10,0,0,0,1,9,5,2003,2004,0,0,0,0,1.0,0.0,0,0,0,2.0,0.0,1.0,0.0,1274,0.0,0,622,1896,0,0,0,0.0,1944,0,0,1944,1,0,2,0,3,1,2,8,0,3,3.0,0.0,0.0,2.0,3,708,0.0,0.0,0,208,175,0,0,0,0,,,,0,11,2,0,0,360000
311,60,0,,7685,0,,1,0,0,0,0,17,0,0,0,0,6,5,1993,1994,0,0,3,3,0.0,112.0,1,0,0,0.0,0.0,0.0,1.0,518,0.0,0,179,697,0,1,0,0.0,697,804,0,1501,0,0,2,1,3,1,0,6,0,1,0.0,0.0,5.0,2.0,2,420,0.0,0.0,0,190,63,0,0,0,0,,,,0,5,2,0,0,165600
312,20,0,50.0,8000,0,,0,0,0,0,0,11,0,0,0,1,6,6,1948,2002,0,0,0,0,1.0,0.0,1,1,1,1.0,0.0,0.0,1.0,680,0.0,0,292,972,0,0,0,0.0,972,0,0,972,1,0,1,0,2,1,1,5,0,1,1.0,1.0,46.0,1.0,1,240,0.0,0.0,0,0,0,0,0,0,0,,,,0,5,3,0,0,132000
313,190,1,65.0,7800,0,,0,0,0,0,0,7,3,0,1,2,5,7,1939,1950,0,0,1,1,1.0,0.0,1,0,1,0.0,0.0,2.0,3.0,507,0.0,0,286,793,0,2,0,0.0,793,325,0,1118,1,0,1,0,3,1,1,5,0,1,1.0,1.0,9.0,1.0,2,410,0.0,0.0,0,0,0,0,0,271,0,,0.0,,0,5,2,0,0,119900
314,20,0,150.0,215245,0,,3,2,0,0,2,16,0,0,0,1,7,5,1965,1965,1,0,4,7,1.0,0.0,1,0,1,0.0,0.0,1.0,1.0,1236,3.0,34,80,2136,1,2,0,0.0,2036,0,0,2036,2,0,2,0,3,1,1,8,0,2,1.0,0.0,10.0,0.0,2,513,0.0,0.0,0,0,0,0,0,0,0,,,,0,6,3,0,0,375000
315,70,1,60.0,9600,0,0.0,0,0,0,0,0,7,0,0,0,0,7,7,1925,1990,0,0,2,5,1.0,0.0,1,0,2,1.0,1.0,0.0,5.0,16,0.0,0,712,728,0,0,0,0.0,832,809,0,1641,0,1,1,1,3,1,2,6,0,1,1.0,1.0,79.0,1.0,2,546,1.0,0.0,0,0,0,234,0,0,0,,,,0,8,2,0,0,178000
316,60,0,71.0,7795,0,,1,0,0,0,0,17,0,0,0,0,7,5,2004,2005,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,425,0.0,0,291,716,0,0,0,0.0,716,716,0,1432,1,0,2,1,3,1,0,6,0,1,1.0,0.0,6.0,2.0,2,432,0.0,0.0,0,100,51,0,0,0,0,,,,0,7,3,0,0,188500
317,60,0,94.0,13005,0,,1,0,0,2,0,6,0,0,0,0,7,7,1980,1980,0,0,6,6,0.0,278.0,0,0,1,0.0,0.0,0.0,0.0,692,0.0,0,153,845,0,2,0,0.0,1153,1200,0,2353,1,0,2,1,4,1,2,10,0,1,0.0,0.0,31.0,0.0,2,484,0.0,0.0,0,288,195,0,0,0,0,,2.0,,0,8,3,0,0,260000
318,60,3,75.0,9000,0,,0,0,0,0,0,5,0,0,0,0,8,5,2006,2006,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,3.0,2.0,0,0.0,0,1088,1088,0,0,0,0.0,1088,871,0,1959,0,0,2,1,3,1,0,8,0,1,1.0,0.0,13.0,0.0,3,1025,0.0,0.0,0,208,46,0,0,0,0,,,,0,12,1,0,0,270000
319,60,0,90.0,9900,0,,0,2,0,0,1,3,0,0,0,0,7,5,1993,1993,0,0,3,3,0.0,256.0,0,0,0,0.0,0.0,1.0,0.0,987,0.0,0,360,1347,0,0,0,0.0,1372,1274,0,2646,1,0,2,1,4,1,0,9,0,1,0.0,0.0,5.0,0.0,3,656,0.0,0.0,0,340,60,144,0,0,0,,,,0,4,3,0,0,260000
320,80,0,,14115,0,,0,0,0,0,0,6,0,0,0,5,7,5,1980,1980,0,0,7,4,0.0,225.0,1,0,1,0.0,0.0,3.0,0.0,1036,0.0,0,336,1372,0,2,0,0.0,1472,0,0,1472,1,0,2,0,3,1,1,6,0,2,0.0,0.0,69.0,1.0,2,588,0.0,0.0,0,233,48,0,0,0,0,,,,0,6,3,0,0,187500
321,60,0,111.0,16259,0,,0,0,0,2,0,10,0,0,0,0,9,5,2006,2006,0,0,0,0,2.0,370.0,1,0,0,2.0,1.0,3.0,2.0,0,0.0,0,1249,1249,0,0,0,0.0,1249,1347,0,2596,0,0,3,1,4,1,0,9,0,0,,0.0,13.0,0.0,3,840,0.0,0.0,0,240,154,0,0,0,0,,,,0,9,2,1,2,342643
322,60,0,99.0,12099,0,,1,0,0,0,0,10,0,0,0,0,8,5,2004,2004,0,0,0,0,0.0,388.0,0,0,0,2.0,0.0,3.0,0.0,970,0.0,0,166,1136,0,0,0,0.0,1136,1332,0,2468,1,0,2,1,4,1,0,10,0,1,1.0,2.0,6.0,2.0,3,872,0.0,0.0,0,184,154,0,0,0,0,,,,0,6,1,0,0,354000
323,60,0,86.0,10380,0,,1,0,0,0,0,12,0,0,0,0,7,5,1986,1987,0,0,7,4,0.0,172.0,0,0,1,1.0,0.0,1.0,5.0,28,2.0,73,0,1502,0,0,0,0.0,1553,1177,0,2730,1,0,2,1,4,1,0,8,0,1,0.0,0.0,42.0,2.0,2,576,0.0,0.0,0,201,96,0,0,0,0,,0.0,,0,8,1,0,0,301000
324,20,1,49.0,5820,0,,0,0,0,0,0,7,0,0,0,1,3,8,1955,2005,0,0,0,0,1.0,0.0,1,1,1,1.0,0.0,0.0,1.0,256,0.0,0,906,1162,0,0,0,0.0,1163,0,0,1163,1,0,1,0,3,1,1,6,0,0,,0.0,62.0,1.0,1,220,1.0,0.0,0,142,98,0,0,0,0,,,,0,7,2,0,0,126175
325,80,0,96.0,11275,0,,0,0,0,2,0,11,2,0,0,5,7,7,1967,2007,3,3,2,5,0.0,300.0,0,1,1,0.0,0.0,0.0,2.0,0,0.0,0,710,710,0,0,0,0.0,1898,1080,0,2978,0,0,2,1,5,1,0,11,0,1,1.0,2.0,50.0,2.0,2,564,0.0,0.0,0,240,0,0,0,0,0,,,,0,6,4,0,0,242000
326,45,1,50.0,5000,0,,0,0,0,0,0,13,4,0,0,3,5,6,1941,1950,0,0,1,1,1.0,0.0,1,0,1,1.0,0.0,3.0,4.0,116,0.0,0,604,720,0,4,1,1.0,803,0,0,803,0,0,1,0,2,1,1,5,0,0,,1.0,80.0,1.0,2,360,0.0,0.0,0,0,0,244,0,0,0,,,,0,12,1,0,0,87000
327,120,0,32.0,10846,0,,1,0,0,3,0,1,0,0,3,1,8,5,1993,1993,0,0,4,7,1.0,0.0,0,0,0,0.0,0.0,1.0,0.0,1619,0.0,0,100,1719,0,0,0,0.0,1719,0,0,1719,2,0,1,1,1,1,0,6,0,2,1.0,0.0,5.0,2.0,2,473,0.0,0.0,0,122,30,0,0,0,0,,,,0,5,0,7,0,324000
328,20,0,80.0,11600,0,,0,0,0,0,0,11,0,0,0,1,6,5,1960,1960,1,0,2,5,0.0,175.0,1,0,1,1.0,0.0,0.0,3.0,565,0.0,0,818,1383,0,2,0,0.0,1383,0,0,1383,0,0,1,1,3,1,1,7,0,0,,0.0,14.0,0.0,1,292,0.0,0.0,0,0,45,0,0,0,0,,,,0,4,2,0,0,145250
329,75,0,,11888,0,1.0,1,1,0,0,0,8,2,0,0,6,6,6,1916,1994,0,0,2,2,1.0,0.0,1,0,2,1.0,0.0,0.0,2.0,0,0.0,0,844,844,0,1,1,2.0,1445,689,0,2134,0,0,2,0,5,1,0,10,0,0,,1.0,19.0,1.0,2,441,0.0,0.0,0,0,60,268,0,0,0,,,,0,7,3,0,0,214500
